main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=1200, eps_start=1.0, frames=30000, games=500, gamma=0.99, log_interval=1, lr=0.05, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.998 | L -0.030 | R 1.000 | Avg L -0.030 | Avg R 1.000
U 5268 | F 5268 | G 1755 | D 4 | EPS 0.010 | L -424.275 | R 1134.000 | Avg L 0.016 | Avg R 0.830
U 5268 | F 5268 | G 1756 | D 4 | EPS 0.010 | L -424.105 | R 1135.000 | Avg L 0.015 | Avg R 0.830
U 5269 | F 5269 | G 1756 | D 4 | EPS 0.010 | L -424.105 | R 1135.000 | Avg L 0.015 | Avg R 0.830
U 5270 | F 5270 | G 1756 | D 4 | EPS 0.010 | L -424.105 | R 1135.000 | Avg L 0.015 | Avg R 0.830
U 5271 | F 5271 | G 1756 | D 4 | EPS 0.010 | L -424.105 | R 1135.000 | Avg L 0.015 | Avg R 0.830
U 5271 | F 5271 | G 1757 | D 4 | EPS 0.010 | L -423.936 | R 1136.000 | Avg L 0.025 | Avg R 0.840
U 5272 | F 5272 | G 1757 | D 4 | EPS 0.010 | L -423.936 | R 1136.000 | Avg L 0.025 | Avg R 0.840
U 5273 | F 5273 | G 1757 | D 4 | EPS 0.010 | L -423.936 | R 1136.000 | Avg L 0.025 | Avg R 0.840
U 5274 | F 5274 | G 1757 | D 4 | EPS 0.010 | L -423.936 | R 1136.000 | Avg L 0.025 | Avg R 0.840
U 5274 | F 5274 | G 1758 | D 4 | EPS 0.010 | L -423.770 | R 1137.000 | Avg L 0.024 | Avg R 0.840
U 5275 | F 5275 | G 1758 | D 4 | EPS 0.010 | L -423.770 | R 1137.000 | Avg L 0.024 | Avg R 0.840
U 5276 | F 5276 | G 1758 | D 4 | EPS 0.010 | L -423.770 | R 1137.000 | Avg L 0.024 | Avg R 0.840
U 5277 | F 5277 | G 1758 | D 4 | EPS 0.010 | L -423.770 | R 1137.000 | Avg L 0.024 | Avg R 0.840
U 5277 | F 5277 | G 1759 | D 4 | EPS 0.010 | L -423.604 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5278 | F 5278 | G 1759 | D 4 | EPS 0.010 | L -423.604 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5279 | F 5279 | G 1759 | D 4 | EPS 0.010 | L -423.604 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5280 | F 5280 | G 1759 | D 4 | EPS 0.010 | L -423.604 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5280 | F 5280 | G 1760 | D 4 | EPS 0.010 | L -424.424 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5281 | F 5281 | G 1760 | D 4 | EPS 0.010 | L -424.424 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5282 | F 5282 | G 1760 | D 4 | EPS 0.010 | L -424.424 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5283 | F 5283 | G 1760 | D 4 | EPS 0.010 | L -424.424 | R 1138.000 | Avg L 0.024 | Avg R 0.840
U 5283 | F 5283 | G 1761 | D 4 | EPS 0.010 | L -425.245 | R 1138.000 | Avg L 0.014 | Avg R 0.830
U 5284 | F 5284 | G 1761 | D 4 | EPS 0.010 | L -425.245 | R 1138.000 | Avg L 0.014 | Avg R 0.830
U 5285 | F 5285 | G 1761 | D 4 | EPS 0.010 | L -425.245 | R 1138.000 | Avg L 0.014 | Avg R 0.830
U 5286 | F 5286 | G 1761 | D 4 | EPS 0.010 | L -425.245 | R 1138.000 | Avg L 0.014 | Avg R 0.830
U 5286 | F 5286 | G 1762 | D 4 | EPS 0.010 | L -425.081 | R 1139.000 | Avg L 0.012 | Avg R 0.830
U 5287 | F 5287 | G 1762 | D 4 | EPS 0.010 | L -425.081 | R 1139.000 | Avg L 0.012 | Avg R 0.830
U 5288 | F 5288 | G 1762 | D 4 | EPS 0.010 | L -425.081 | R 1139.000 | Avg L 0.012 | Avg R 0.830
U 5289 | F 5289 | G 1762 | D 4 | EPS 0.010 | L -425.081 | R 1139.000 | Avg L 0.012 | Avg R 0.830
U 5289 | F 5289 | G 1763 | D 4 | EPS 0.010 | L -424.917 | R 1140.000 | Avg L 0.022 | Avg R 0.840
U 5290 | F 5290 | G 1763 | D 4 | EPS 0.010 | L -424.917 | R 1140.000 | Avg L 0.022 | Avg R 0.840
U 5291 | F 5291 | G 1763 | D 4 | EPS 0.010 | L -424.917 | R 1140.000 | Avg L 0.022 | Avg R 0.840
U 5292 | F 5292 | G 1763 | D 4 | EPS 0.010 | L -424.917 | R 1140.000 | Avg L 0.022 | Avg R 0.840
U 5292 | F 5292 | G 1764 | D 4 | EPS 0.010 | L -425.738 | R 1140.000 | Avg L 0.012 | Avg R 0.830
U 5293 | F 5293 | G 1764 | D 4 | EPS 0.010 | L -425.738 | R 1140.000 | Avg L 0.012 | Avg R 0.830
U 5294 | F 5294 | G 1764 | D 4 | EPS 0.010 | L -425.738 | R 1140.000 | Avg L 0.012 | Avg R 0.830
U 5295 | F 5295 | G 1764 | D 4 | EPS 0.010 | L -425.738 | R 1140.000 | Avg L 0.012 | Avg R 0.830
U 5295 | F 5295 | G 1765 | D 4 | EPS 0.010 | L -425.574 | R 1141.000 | Avg L 0.011 | Avg R 0.830
U 5296 | F 5296 | G 1765 | D 4 | EPS 0.010 | L -425.574 | R 1141.000 | Avg L 0.011 | Avg R 0.830
U 5297 | F 5297 | G 1765 | D 4 | EPS 0.010 | L -425.574 | R 1141.000 | Avg L 0.011 | Avg R 0.830
U 5298 | F 5298 | G 1765 | D 4 | EPS 0.010 | L -425.574 | R 1141.000 | Avg L 0.011 | Avg R 0.830
U 5298 | F 5298 | G 1766 | D 4 | EPS 0.010 | L -426.395 | R 1141.000 | Avg L 0.001 | Avg R 0.820
U 5299 | F 5299 | G 1766 | D 4 | EPS 0.010 | L -426.395 | R 1141.000 | Avg L 0.001 | Avg R 0.820
U 5300 | F 5300 | G 1766 | D 4 | EPS 0.010 | L -426.395 | R 1141.000 | Avg L 0.001 | Avg R 0.820
U 5301 | F 5301 | G 1766 | D 4 | EPS 0.010 | L -426.395 | R 1141.000 | Avg L 0.001 | Avg R 0.820
U 5301 | F 5301 | G 1767 | D 4 | EPS 0.010 | L -426.228 | R 1142.000 | Avg L 0.001 | Avg R 0.820
U 5302 | F 5302 | G 1767 | D 4 | EPS 0.010 | L -426.228 | R 1142.000 | Avg L 0.001 | Avg R 0.820
U 5303 | F 5303 | G 1767 | D 4 | EPS 0.010 | L -426.228 | R 1142.000 | Avg L 0.001 | Avg R 0.820
U 5304 | F 5304 | G 1767 | D 4 | EPS 0.010 | L -426.228 | R 1142.000 | Avg L 0.001 | Avg R 0.820
U 5304 | F 5304 | G 1768 | D 4 | EPS 0.010 | L -427.046 | R 1142.000 | Avg L -0.009 | Avg R 0.810
U 5305 | F 5305 | G 1768 | D 4 | EPS 0.010 | L -427.046 | R 1142.000 | Avg L -0.009 | Avg R 0.810
U 5306 | F 5306 | G 1768 | D 4 | EPS 0.010 | L -427.046 | R 1142.000 | Avg L -0.009 | Avg R 0.810
U 5307 | F 5307 | G 1768 | D 4 | EPS 0.010 | L -427.046 | R 1142.000 | Avg L -0.009 | Avg R 0.810
U 5307 | F 5307 | G 1769 | D 4 | EPS 0.010 | L -427.863 | R 1142.000 | Avg L -0.019 | Avg R 0.800
U 5308 | F 5308 | G 1769 | D 4 | EPS 0.010 | L -427.863 | R 1142.000 | Avg L -0.019 | Avg R 0.800
U 5309 | F 5309 | G 1769 | D 4 | EPS 0.010 | L -427.863 | R 1142.000 | Avg L -0.019 | Avg R 0.800
U 5310 | F 5310 | G 1769 | D 4 | EPS 0.010 | L -427.863 | R 1142.000 | Avg L -0.019 | Avg R 0.800
U 5310 | F 5310 | G 1770 | D 4 | EPS 0.010 | L -427.695 | R 1143.000 | Avg L -0.019 | Avg R 0.800
U 5311 | F 5311 | G 1770 | D 4 | EPS 0.010 | L -427.695 | R 1143.000 | Avg L -0.019 | Avg R 0.800
U 5312 | F 5312 | G 1770 | D 4 | EPS 0.010 | L -427.695 | R 1143.000 | Avg L -0.019 | Avg R 0.800
U 5313 | F 5313 | G 1770 | D 4 | EPS 0.010 | L -427.695 | R 1143.000 | Avg L -0.019 | Avg R 0.800
U 5313 | F 5313 | G 1771 | D 4 | EPS 0.010 | L -427.522 | R 1144.000 | Avg L -0.019 | Avg R 0.800
U 5314 | F 5314 | G 1771 | D 4 | EPS 0.010 | L -427.522 | R 1144.000 | Avg L -0.019 | Avg R 0.800
U 5315 | F 5315 | G 1771 | D 4 | EPS 0.010 | L -427.522 | R 1144.000 | Avg L -0.019 | Avg R 0.800
U 5316 | F 5316 | G 1771 | D 4 | EPS 0.010 | L -427.522 | R 1144.000 | Avg L -0.019 | Avg R 0.800
U 5316 | F 5316 | G 1772 | D 4 | EPS 0.010 | L -427.354 | R 1145.000 | Avg L -0.020 | Avg R 0.800
U 5317 | F 5317 | G 1772 | D 4 | EPS 0.010 | L -427.354 | R 1145.000 | Avg L -0.020 | Avg R 0.800
U 5318 | F 5318 | G 1772 | D 4 | EPS 0.010 | L -427.354 | R 1145.000 | Avg L -0.020 | Avg R 0.800
U 5319 | F 5319 | G 1772 | D 4 | EPS 0.010 | L -427.354 | R 1145.000 | Avg L -0.020 | Avg R 0.800
U 5319 | F 5319 | G 1773 | D 4 | EPS 0.010 | L -427.184 | R 1146.000 | Avg L -0.020 | Avg R 0.800
U 5320 | F 5320 | G 1773 | D 4 | EPS 0.010 | L -427.184 | R 1146.000 | Avg L -0.020 | Avg R 0.800
U 5321 | F 5321 | G 1773 | D 4 | EPS 0.010 | L -427.184 | R 1146.000 | Avg L -0.020 | Avg R 0.800
U 5322 | F 5322 | G 1773 | D 4 | EPS 0.010 | L -427.184 | R 1146.000 | Avg L -0.020 | Avg R 0.800
U 5322 | F 5322 | G 1774 | D 4 | EPS 0.010 | L -427.014 | R 1147.000 | Avg L -0.020 | Avg R 0.800
U 5323 | F 5323 | G 1774 | D 4 | EPS 0.010 | L -427.014 | R 1147.000 | Avg L -0.020 | Avg R 0.800
U 5324 | F 5324 | G 1774 | D 4 | EPS 0.010 | L -427.014 | R 1147.000 | Avg L -0.020 | Avg R 0.800
U 5325 | F 5325 | G 1774 | D 4 | EPS 0.010 | L -427.014 | R 1147.000 | Avg L -0.020 | Avg R 0.800
U 5325 | F 5325 | G 1775 | D 4 | EPS 0.010 | L -426.844 | R 1148.000 | Avg L -0.020 | Avg R 0.800
U 5326 | F 5326 | G 1775 | D 4 | EPS 0.010 | L -426.844 | R 1148.000 | Avg L -0.020 | Avg R 0.800
U 5327 | F 5327 | G 1775 | D 4 | EPS 0.010 | L -426.844 | R 1148.000 | Avg L -0.020 | Avg R 0.800
U 5328 | F 5328 | G 1775 | D 4 | EPS 0.010 | L -426.844 | R 1148.000 | Avg L -0.020 | Avg R 0.800
U 5328 | F 5328 | G 1776 | D 4 | EPS 0.010 | L -426.669 | R 1149.000 | Avg L -0.020 | Avg R 0.800
U 5329 | F 5329 | G 1776 | D 4 | EPS 0.010 | L -426.669 | R 1149.000 | Avg L -0.020 | Avg R 0.800
U 5330 | F 5330 | G 1776 | D 4 | EPS 0.010 | L -426.669 | R 1149.000 | Avg L -0.020 | Avg R 0.800
U 5331 | F 5331 | G 1776 | D 4 | EPS 0.010 | L -426.669 | R 1149.000 | Avg L -0.020 | Avg R 0.800
U 5331 | F 5331 | G 1777 | D 4 | EPS 0.010 | L -426.494 | R 1150.000 | Avg L -0.020 | Avg R 0.800
U 5332 | F 5332 | G 1777 | D 4 | EPS 0.010 | L -426.494 | R 1150.000 | Avg L -0.020 | Avg R 0.800
U 5333 | F 5333 | G 1777 | D 4 | EPS 0.010 | L -426.494 | R 1150.000 | Avg L -0.020 | Avg R 0.800
U 5334 | F 5334 | G 1777 | D 4 | EPS 0.010 | L -426.494 | R 1150.000 | Avg L -0.020 | Avg R 0.800
U 5334 | F 5334 | G 1778 | D 4 | EPS 0.010 | L -426.323 | R 1151.000 | Avg L -0.011 | Avg R 0.810
U 5335 | F 5335 | G 1778 | D 4 | EPS 0.010 | L -426.323 | R 1151.000 | Avg L -0.011 | Avg R 0.810
U 5336 | F 5336 | G 1778 | D 4 | EPS 0.010 | L -426.323 | R 1151.000 | Avg L -0.011 | Avg R 0.810
U 5337 | F 5337 | G 1778 | D 4 | EPS 0.010 | L -426.323 | R 1151.000 | Avg L -0.011 | Avg R 0.810
U 5337 | F 5337 | G 1779 | D 4 | EPS 0.010 | L -426.147 | R 1152.000 | Avg L -0.011 | Avg R 0.810
U 5338 | F 5338 | G 1779 | D 4 | EPS 0.010 | L -426.147 | R 1152.000 | Avg L -0.011 | Avg R 0.810
U 5339 | F 5339 | G 1779 | D 4 | EPS 0.010 | L -426.147 | R 1152.000 | Avg L -0.011 | Avg R 0.810
U 5340 | F 5340 | G 1779 | D 4 | EPS 0.010 | L -426.147 | R 1152.000 | Avg L -0.011 | Avg R 0.810
U 5340 | F 5340 | G 1780 | D 4 | EPS 0.010 | L -425.977 | R 1153.000 | Avg L -0.001 | Avg R 0.820
U 5341 | F 5341 | G 1780 | D 4 | EPS 0.010 | L -425.977 | R 1153.000 | Avg L -0.001 | Avg R 0.820
U 5342 | F 5342 | G 1780 | D 4 | EPS 0.010 | L -425.977 | R 1153.000 | Avg L -0.001 | Avg R 0.820
U 5343 | F 5343 | G 1780 | D 4 | EPS 0.010 | L -425.977 | R 1153.000 | Avg L -0.001 | Avg R 0.820
U 5343 | F 5343 | G 1781 | D 4 | EPS 0.010 | L -425.805 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5344 | F 5344 | G 1781 | D 4 | EPS 0.010 | L -425.805 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5345 | F 5345 | G 1781 | D 4 | EPS 0.010 | L -425.805 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5346 | F 5346 | G 1781 | D 4 | EPS 0.010 | L -425.805 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5346 | F 5346 | G 1782 | D 4 | EPS 0.010 | L -426.620 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5347 | F 5347 | G 1782 | D 4 | EPS 0.010 | L -426.620 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5348 | F 5348 | G 1782 | D 4 | EPS 0.010 | L -426.620 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5349 | F 5349 | G 1782 | D 4 | EPS 0.010 | L -426.620 | R 1154.000 | Avg L -0.001 | Avg R 0.820
U 5349 | F 5349 | G 1783 | D 4 | EPS 0.010 | L -426.448 | R 1155.000 | Avg L -0.001 | Avg R 0.820
U 5350 | F 5350 | G 1783 | D 4 | EPS 0.010 | L -426.448 | R 1155.000 | Avg L -0.001 | Avg R 0.820
U 5351 | F 5351 | G 1783 | D 4 | EPS 0.010 | L -426.448 | R 1155.000 | Avg L -0.001 | Avg R 0.820
U 5352 | F 5352 | G 1783 | D 4 | EPS 0.010 | L -426.448 | R 1155.000 | Avg L -0.001 | Avg R 0.820
U 5352 | F 5352 | G 1784 | D 4 | EPS 0.010 | L -427.263 | R 1155.000 | Avg L -0.011 | Avg R 0.810
U 5353 | F 5353 | G 1784 | D 4 | EPS 0.010 | L -427.263 | R 1155.000 | Avg L -0.011 | Avg R 0.810
U 5354 | F 5354 | G 1784 | D 4 | EPS 0.010 | L -427.263 | R 1155.000 | Avg L -0.011 | Avg R 0.810
U 5355 | F 5355 | G 1784 | D 4 | EPS 0.010 | L -427.263 | R 1155.000 | Avg L -0.011 | Avg R 0.810
U 5355 | F 5355 | G 1785 | D 4 | EPS 0.010 | L -428.076 | R 1155.000 | Avg L -0.022 | Avg R 0.800
U 5356 | F 5356 | G 1785 | D 4 | EPS 0.010 | L -428.076 | R 1155.000 | Avg L -0.022 | Avg R 0.800
U 5357 | F 5357 | G 1785 | D 4 | EPS 0.010 | L -428.076 | R 1155.000 | Avg L -0.022 | Avg R 0.800
U 5358 | F 5358 | G 1785 | D 4 | EPS 0.010 | L -428.076 | R 1155.000 | Avg L -0.022 | Avg R 0.800
U 5358 | F 5358 | G 1786 | D 4 | EPS 0.010 | L -427.904 | R 1156.000 | Avg L -0.022 | Avg R 0.800
U 5359 | F 5359 | G 1786 | D 4 | EPS 0.010 | L -427.904 | R 1156.000 | Avg L -0.022 | Avg R 0.800
U 5360 | F 5360 | G 1786 | D 4 | EPS 0.010 | L -427.904 | R 1156.000 | Avg L -0.022 | Avg R 0.800
U 5361 | F 5361 | G 1786 | D 4 | EPS 0.010 | L -427.904 | R 1156.000 | Avg L -0.022 | Avg R 0.800
U 5361 | F 5361 | G 1787 | D 4 | EPS 0.010 | L -427.730 | R 1157.000 | Avg L -0.022 | Avg R 0.800
U 5362 | F 5362 | G 1787 | D 4 | EPS 0.010 | L -427.730 | R 1157.000 | Avg L -0.022 | Avg R 0.800
U 5363 | F 5363 | G 1787 | D 4 | EPS 0.010 | L -427.730 | R 1157.000 | Avg L -0.022 | Avg R 0.800
U 5364 | F 5364 | G 1787 | D 4 | EPS 0.010 | L -427.730 | R 1157.000 | Avg L -0.022 | Avg R 0.800
U 5364 | F 5364 | G 1788 | D 4 | EPS 0.010 | L -427.551 | R 1158.000 | Avg L -0.022 | Avg R 0.800
U 5365 | F 5365 | G 1788 | D 4 | EPS 0.010 | L -427.551 | R 1158.000 | Avg L -0.022 | Avg R 0.800
U 5366 | F 5366 | G 1788 | D 4 | EPS 0.010 | L -427.551 | R 1158.000 | Avg L -0.022 | Avg R 0.800
U 5367 | F 5367 | G 1788 | D 4 | EPS 0.010 | L -427.551 | R 1158.000 | Avg L -0.022 | Avg R 0.800
U 5367 | F 5367 | G 1789 | D 4 | EPS 0.010 | L -427.376 | R 1159.000 | Avg L -0.022 | Avg R 0.800
U 5368 | F 5368 | G 1789 | D 4 | EPS 0.010 | L -427.376 | R 1159.000 | Avg L -0.022 | Avg R 0.800
U 5369 | F 5369 | G 1789 | D 4 | EPS 0.010 | L -427.376 | R 1159.000 | Avg L -0.022 | Avg R 0.800
U 5370 | F 5370 | G 1789 | D 4 | EPS 0.010 | L -427.376 | R 1159.000 | Avg L -0.022 | Avg R 0.800
U 5370 | F 5370 | G 1790 | D 4 | EPS 0.010 | L -428.187 | R 1159.000 | Avg L -0.032 | Avg R 0.790
U 5371 | F 5371 | G 1790 | D 4 | EPS 0.010 | L -428.187 | R 1159.000 | Avg L -0.032 | Avg R 0.790
U 5372 | F 5372 | G 1790 | D 4 | EPS 0.010 | L -428.187 | R 1159.000 | Avg L -0.032 | Avg R 0.790
U 5373 | F 5373 | G 1790 | D 4 | EPS 0.010 | L -428.187 | R 1159.000 | Avg L -0.032 | Avg R 0.790
U 5373 | F 5373 | G 1791 | D 4 | EPS 0.010 | L -428.011 | R 1160.000 | Avg L -0.022 | Avg R 0.800
U 5374 | F 5374 | G 1791 | D 4 | EPS 0.010 | L -428.011 | R 1160.000 | Avg L -0.022 | Avg R 0.800
U 5375 | F 5375 | G 1791 | D 4 | EPS 0.010 | L -428.011 | R 1160.000 | Avg L -0.022 | Avg R 0.800
U 5376 | F 5376 | G 1791 | D 4 | EPS 0.010 | L -428.011 | R 1160.000 | Avg L -0.022 | Avg R 0.800
U 5376 | F 5376 | G 1792 | D 4 | EPS 0.010 | L -428.822 | R 1160.000 | Avg L -0.033 | Avg R 0.790
U 5377 | F 5377 | G 1792 | D 4 | EPS 0.010 | L -428.822 | R 1160.000 | Avg L -0.033 | Avg R 0.790
U 5378 | F 5378 | G 1792 | D 4 | EPS 0.010 | L -428.822 | R 1160.000 | Avg L -0.033 | Avg R 0.790
U 5379 | F 5379 | G 1792 | D 4 | EPS 0.010 | L -428.822 | R 1160.000 | Avg L -0.033 | Avg R 0.790
U 5379 | F 5379 | G 1793 | D 4 | EPS 0.010 | L -428.643 | R 1161.000 | Avg L -0.033 | Avg R 0.790
U 5380 | F 5380 | G 1793 | D 4 | EPS 0.010 | L -428.643 | R 1161.000 | Avg L -0.033 | Avg R 0.790
U 5381 | F 5381 | G 1793 | D 4 | EPS 0.010 | L -428.643 | R 1161.000 | Avg L -0.033 | Avg R 0.790
U 5382 | F 5382 | G 1793 | D 4 | EPS 0.010 | L -428.643 | R 1161.000 | Avg L -0.033 | Avg R 0.790
U 5382 | F 5382 | G 1794 | D 4 | EPS 0.010 | L -428.467 | R 1162.000 | Avg L -0.033 | Avg R 0.790
U 5383 | F 5383 | G 1794 | D 4 | EPS 0.010 | L -428.467 | R 1162.000 | Avg L -0.033 | Avg R 0.790
U 5384 | F 5384 | G 1794 | D 4 | EPS 0.010 | L -428.467 | R 1162.000 | Avg L -0.033 | Avg R 0.790
U 5385 | F 5385 | G 1794 | D 4 | EPS 0.010 | L -428.467 | R 1162.000 | Avg L -0.033 | Avg R 0.790
U 5385 | F 5385 | G 1795 | D 4 | EPS 0.010 | L -428.292 | R 1163.000 | Avg L -0.033 | Avg R 0.790
U 5386 | F 5386 | G 1795 | D 4 | EPS 0.010 | L -428.292 | R 1163.000 | Avg L -0.033 | Avg R 0.790
U 5387 | F 5387 | G 1795 | D 4 | EPS 0.010 | L -428.292 | R 1163.000 | Avg L -0.033 | Avg R 0.790
U 5388 | F 5388 | G 1795 | D 4 | EPS 0.010 | L -428.292 | R 1163.000 | Avg L -0.033 | Avg R 0.790
U 5388 | F 5388 | G 1796 | D 4 | EPS 0.010 | L -429.100 | R 1163.000 | Avg L -0.043 | Avg R 0.780
U 5389 | F 5389 | G 1796 | D 4 | EPS 0.010 | L -429.100 | R 1163.000 | Avg L -0.043 | Avg R 0.780
U 5390 | F 5390 | G 1796 | D 4 | EPS 0.010 | L -429.100 | R 1163.000 | Avg L -0.043 | Avg R 0.780
U 5391 | F 5391 | G 1796 | D 4 | EPS 0.010 | L -429.100 | R 1163.000 | Avg L -0.043 | Avg R 0.780
U 5391 | F 5391 | G 1797 | D 4 | EPS 0.010 | L -428.982 | R 1164.000 | Avg L -0.044 | Avg R 0.780
U 5392 | F 5392 | G 1797 | D 4 | EPS 0.010 | L -428.982 | R 1164.000 | Avg L -0.044 | Avg R 0.780
U 5393 | F 5393 | G 1797 | D 4 | EPS 0.010 | L -428.982 | R 1164.000 | Avg L -0.044 | Avg R 0.780
U 5394 | F 5394 | G 1797 | D 4 | EPS 0.010 | L -428.982 | R 1164.000 | Avg L -0.044 | Avg R 0.780
U 5394 | F 5394 | G 1798 | D 4 | EPS 0.010 | L -428.802 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5395 | F 5395 | G 1798 | D 4 | EPS 0.010 | L -428.802 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5396 | F 5396 | G 1798 | D 4 | EPS 0.010 | L -428.802 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5397 | F 5397 | G 1798 | D 4 | EPS 0.010 | L -428.802 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5397 | F 5397 | G 1799 | D 4 | EPS 0.010 | L -429.607 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5398 | F 5398 | G 1799 | D 4 | EPS 0.010 | L -429.607 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5399 | F 5399 | G 1799 | D 4 | EPS 0.010 | L -429.607 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5400 | F 5400 | G 1799 | D 4 | EPS 0.010 | L -429.607 | R 1165.000 | Avg L -0.044 | Avg R 0.780
U 5400 | F 5400 | G 1800 | D 4 | EPS 0.010 | L -429.425 | R 1166.000 | Avg L -0.044 | Avg R 0.780
U 5401 | F 5401 | G 1800 | D 4 | EPS 0.010 | L -429.425 | R 1166.000 | Avg L -0.044 | Avg R 0.780
U 5402 | F 5402 | G 1800 | D 4 | EPS 0.010 | L -429.425 | R 1166.000 | Avg L -0.044 | Avg R 0.780
U 5403 | F 5403 | G 1800 | D 4 | EPS 0.010 | L -429.425 | R 1166.000 | Avg L -0.044 | Avg R 0.780
U 5403 | F 5403 | G 1801 | D 4 | EPS 0.010 | L -429.238 | R 1167.000 | Avg L -0.044 | Avg R 0.780
U 5404 | F 5404 | G 1801 | D 4 | EPS 0.010 | L -429.238 | R 1167.000 | Avg L -0.044 | Avg R 0.780
U 5405 | F 5405 | G 1801 | D 4 | EPS 0.010 | L -429.238 | R 1167.000 | Avg L -0.044 | Avg R 0.780
U 5406 | F 5406 | G 1801 | D 4 | EPS 0.010 | L -429.238 | R 1167.000 | Avg L -0.044 | Avg R 0.780
U 5406 | F 5406 | G 1802 | D 4 | EPS 0.010 | L -430.041 | R 1167.000 | Avg L -0.054 | Avg R 0.770
U 5407 | F 5407 | G 1802 | D 4 | EPS 0.010 | L -430.041 | R 1167.000 | Avg L -0.054 | Avg R 0.770
U 5408 | F 5408 | G 1802 | D 4 | EPS 0.010 | L -430.041 | R 1167.000 | Avg L -0.054 | Avg R 0.770
U 5409 | F 5409 | G 1802 | D 4 | EPS 0.010 | L -430.041 | R 1167.000 | Avg L -0.054 | Avg R 0.770
U 5409 | F 5409 | G 1803 | D 4 | EPS 0.010 | L -430.842 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5410 | F 5410 | G 1803 | D 4 | EPS 0.010 | L -430.842 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5411 | F 5411 | G 1803 | D 4 | EPS 0.010 | L -430.842 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5412 | F 5412 | G 1803 | D 4 | EPS 0.010 | L -430.842 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5412 | F 5412 | G 1804 | D 4 | EPS 0.010 | L -431.642 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5413 | F 5413 | G 1804 | D 4 | EPS 0.010 | L -431.642 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5414 | F 5414 | G 1804 | D 4 | EPS 0.010 | L -431.642 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5415 | F 5415 | G 1804 | D 4 | EPS 0.010 | L -431.642 | R 1167.000 | Avg L -0.064 | Avg R 0.760
U 5415 | F 5415 | G 1805 | D 4 | EPS 0.010 | L -432.441 | R 1167.000 | Avg L -0.073 | Avg R 0.750
U 5416 | F 5416 | G 1805 | D 4 | EPS 0.010 | L -432.441 | R 1167.000 | Avg L -0.073 | Avg R 0.750
U 5417 | F 5417 | G 1805 | D 4 | EPS 0.010 | L -432.441 | R 1167.000 | Avg L -0.073 | Avg R 0.750
U 5418 | F 5418 | G 1805 | D 4 | EPS 0.010 | L -432.441 | R 1167.000 | Avg L -0.073 | Avg R 0.750
U 5418 | F 5418 | G 1806 | D 4 | EPS 0.010 | L -432.250 | R 1168.000 | Avg L -0.073 | Avg R 0.750
U 5419 | F 5419 | G 1806 | D 4 | EPS 0.010 | L -432.250 | R 1168.000 | Avg L -0.073 | Avg R 0.750
U 5420 | F 5420 | G 1806 | D 4 | EPS 0.010 | L -432.250 | R 1168.000 | Avg L -0.073 | Avg R 0.750
U 5421 | F 5421 | G 1806 | D 4 | EPS 0.010 | L -432.250 | R 1168.000 | Avg L -0.073 | Avg R 0.750
U 5421 | F 5421 | G 1807 | D 4 | EPS 0.010 | L -432.052 | R 1169.000 | Avg L -0.063 | Avg R 0.760
U 5422 | F 5422 | G 1807 | D 4 | EPS 0.010 | L -432.052 | R 1169.000 | Avg L -0.063 | Avg R 0.760
U 5423 | F 5423 | G 1807 | D 4 | EPS 0.010 | L -432.052 | R 1169.000 | Avg L -0.063 | Avg R 0.760
U 5424 | F 5424 | G 1807 | D 4 | EPS 0.010 | L -432.052 | R 1169.000 | Avg L -0.063 | Avg R 0.760
